key,lo,hi,year,ksi
adult 50-69,50,69,2007,6441.922439399999
adult 50-69,50,69,2008,6179.75844
adult 50-69,50,69,2009,6247.155407800001
adult 50-69,50,69,2010,6003.1561833
adult 50-69,50,69,2011,6318.9678877000015
adult 50-69,50,69,2012,6506.9295682
adult 50-69,50,69,2013,6360.3340481000005
adult 50-69,50,69,2014,6999.398822900001
adult 50-69,50,69,2015,6827.592241500001
adult 50-69,50,69,2016,6792.776957100001
adult 50-69,50,69,2017,6548.0958171
adult 50-69,50,69,2018,7022.4261276000025
adult 50-69,50,69,2019,6753.915397600001
adult 50-69,50,69,2020,5599.602761599998
adult 50-69,50,69,2021,6078.391788499999
adult 70-89,70,89,2004,3646.2119281399996
adult 70-89,70,89,2005,3447.1002585100005
adult 70-89,70,89,2006,3409.08620227
adult 70-89,70,89,2007,3273.01706553
adult 70-89,70,89,2008,3201.3944913900004
adult 70-89,70,89,2009,3093.02057371
adult 70-89,70,89,2010,2948.6022011099994
adult 70-89,70,89,2011,3077.4316597000006
adult 70-89,70,89,2012,3183.2108866999997
adult 70-89,70,89,2013,3005.53264358
adult 70-89,70,89,2014,3290.0033186600003
adult 70-89,70,89,2015,3224.82165514
adult 70-89,70,89,2016,3188.1967701800004
adult 70-89,70,89,2017,3192.4747368899993
adult 70-89,70,89,2018,3484.2400039899994
adult 70-89,70,89,2019,3364.8393505199997
adult 70-89,70,89,2020,2186.78982696
adult 70-89,70,89,2021,2510.51590462
adult 90-109,90,109,2004,166.48764839299997
adult 90-109,90,109,2005,209.96598176000003
adult 90-109,90,109,2006,145.01991016399998
adult 90-109,90,109,2007,181.729325956
adult 90-109,90,109,2008,169.362940943
adult 90-109,90,109,2009,154.92218950000003
adult 90-109,90,109,2010,149.950520284
adult 90-109,90,109,2011,177.704789226
adult 90-109,90,109,2012,183.03038919240004
adult 90-109,90,109,2013,179.73702624916996
adult 90-109,90,109,2014,215.57190084249999
adult 90-109,90,109,2015,193.2945849415
adult 90-109,90,109,2016,207.53445187125
adult 90-109,90,109,2017,185.329726315
adult 90-109,90,109,2018,213.18087367959998
adult 90-109,90,109,2019,214.40329605760002
adult 90-109,90,109,2020,126.73026390400001
adult 90-109,90,109,2021,147.967990308
